hash,path,created,modified,filesize,count,action
135a0a7b2f5eece7ce53c6fbb26e9cd9,../1/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 21:19:46,2020-04-07 14:38:28,110598,1,keep
135a0a7b2f5eece7ce53c6fbb26e9cd9,../1/New Folder With Items/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 21:50:47,2020-04-07 14:38:28,110598,1,delete
135a0a7b2f5eece7ce53c6fbb26e9cd9,../1/New Folder With Items 3/7612e4ee-b49a-46d2-94d9-fbc234c71b2e.jpg,2020-04-10 21:50:49,2020-04-07 14:38:28,110598,1,delete
374f0604be4b276c023e330f409d2a7b,../1/639a58cd-e467-4187-91fe-35c71cc86970.jpg,2020-04-10 21:19:46,2020-04-08 19:08:52,45155,1,Keep
374f0604be4b276c023e330f409d2a7b,../1/New Folder With Items/639a58cd-e467-4187-91fe-35c71cc86970.jpg,2020-04-10 21:50:47,2020-04-08 19:08:52,45155,1,delete
374f0604be4b276c023e330f409d2a7b,../1/New Folder With Items 3/639a58cd-e467-4187-91fe-35c71cc86970.jpg,2020-04-10 21:50:49,2020-04-08 19:08:52,45155,1,delete
4d0c606b822f16e97762a413b3e102c6,../1/634fb9e9-4ca6-4ff3-a2d2-4ee81cfbde85.jpg,2020-04-10 21:19:46,2020-04-07 11:34:38,158673,1,Keep
4d0c606b822f16e97762a413b3e102c6,../1/New Folder With Items/634fb9e9-4ca6-4ff3-a2d2-4ee81cfbde85.jpg,2020-04-10 21:50:47,2020-04-07 11:34:38,158673,1,delete
4d0c606b822f16e97762a413b3e102c6,../1/New Folder With Items 3/634fb9e9-4ca6-4ff3-a2d2-4ee81cfbde85.jpg,2020-04-10 21:50:49,2020-04-07 11:34:38,158673,1,delete
74198ac70368792400a3a1a0900cc769,../1/507c61f2-2cc9-46d9-8e0d-720a8ba8a3ba.jpg,2020-04-10 21:19:46,2020-04-07 15:13:46,219012,1,Keep
74198ac70368792400a3a1a0900cc769,../1/New Folder With Items/507c61f2-2cc9-46d9-8e0d-720a8ba8a3ba.jpg,2020-04-10 21:50:47,2020-04-07 15:13:46,219012,1,delete
74198ac70368792400a3a1a0900cc769,../1/New Folder With Items 3/507c61f2-2cc9-46d9-8e0d-720a8ba8a3ba.jpg,2020-04-10 21:50:49,2020-04-07 15:13:46,219012,1,delete
933827ccd64bd5345025069ddc79451f,../1/0009845a-53ab-4b7b-838e-3e76fa6a638f 2.jpg,2020-04-10 21:19:46,2020-04-07 15:13:26,211440,1,Keep
933827ccd64bd5345025069ddc79451f,../1/New Folder With Items/0009845a-53ab-4b7b-838e-3e76fa6a638f 2.jpg,2020-04-10 21:50:47,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/New Folder With Items 3/0009845a-53ab-4b7b-838e-3e76fa6a638f 2.jpg,2020-04-10 21:50:49,2020-04-07 15:13:26,211440,1,delete
933827ccd64bd5345025069ddc79451f,../1/New Folder With Items/0009845a-53ab-4b7b-838e-3e76fa6a638f 2 2.jpg,2020-04-10 21:51:03,2020-04-07 15:13:26,211440,1,delete
b777dfc6904cee5e244c9da08bc84613,../1/444f74e6-7d14-4324-a891-d53ab2109571.jpg,2020-04-10 21:19:46,2020-04-08 14:07:36,43238,1,Keep
b777dfc6904cee5e244c9da08bc84613,../1/New Folder With Items/444f74e6-7d14-4324-a891-d53ab2109571.jpg,2020-04-10 21:51:03,2020-04-08 14:07:36,43238,1,delete
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy 3.JPG,2020-04-10 21:19:33,2019-06-28 10:07:50,106405,1,Keep
ef8cab05963a17a03072be7fdfe7daeb,../1/New Folder With Items/Escritorio copy 4.JPG,2020-04-10 21:51:06,2019-06-28 10:07:50,106405,1,delete
