hash,path,created,modified,filesize,count,action
051ad0975b0fe42a381722d027364ef4,../Photos/New Folder With Items 5/New Folder With Items 6/eac82624-d4e2-4108-9e15-8b27f59b0627.jpg,2020-04-09 18:38:45,2020-04-07 15:13:46,189866,1,keep
051ad0975b0fe42a381722d027364ef4,../Photos/New Folder With Items 4/New Folder With Items 5/New Folder With Items 6/eac82624-d4e2-4108-9e15-8b27f59b0627.jpg,2020-04-10 20:41:10,2020-04-07 15:13:46,189866,1,delete
0659c025cdb6e3afbcecb8ddeb52ff7e,../Photos/New Folder With Items 5/DSC_0022.jpg,2020-04-09 18:38:38,2020-04-07 19:58:50,65256,1,Keep
0659c025cdb6e3afbcecb8ddeb52ff7e,../Photos/New Folder With Items 4/New Folder With Items 5/DSC_0022.jpg,2020-04-10 20:41:10,2020-04-07 19:58:50,65256,1,delete
0d854a374daae737aab4ab7c6e111836,../Photos/New Folder With Items 5/New Folder With Items 6/DSC_0059.jpg,2020-04-09 18:38:45,2020-04-07 20:11:46,71659,1,Keep
0d854a374daae737aab4ab7c6e111836,../Photos/New Folder With Items 4/New Folder With Items 5/New Folder With Items 6/DSC_0059.jpg,2020-04-10 20:41:10,2020-04-07 20:11:46,71659,1,delete
112871ca99a2476614f08688781adb96,../Photos/New Folder With Items 3/DSC_0051.jpg,2020-04-09 18:38:26,2020-04-07 20:09:36,69259,1,Keep
112871ca99a2476614f08688781adb96,../Photos/New Folder With Items 5/New Folder With Items 3/DSC_0051.jpg,2020-04-10 20:41:15,2020-04-07 20:09:36,69259,1,delete
12c112a63d8262703301c74c49940045,../Photos/New Folder With Items 2/DSC_0012.jpg,2020-04-09 18:38:19,2020-04-07 19:51:00,33318,1,Keep
12c112a63d8262703301c74c49940045,../Photos/New Folder With Items/New Folder With Items 2/DSC_0012.jpg,2020-04-10 20:41:22,2020-04-07 19:51:00,33318,1,delete
19955317d33ba5a598a10a30fae60a86,../Photos/New Folder With Items 3/DSC_0046.jpg,2020-04-09 18:38:26,2020-04-07 20:08:12,70517,1,Keep
19955317d33ba5a598a10a30fae60a86,../Photos/New Folder With Items 5/New Folder With Items 3/DSC_0046.jpg,2020-04-10 20:41:15,2020-04-07 20:08:12,70517,1,delete
28948013ab5bc9247f7078faa9a5dc7e,../Photos/New Folder With Items 5/New Folder With Items 6/DSC_0060.jpg,2020-04-09 18:38:45,2020-04-07 20:12:18,79554,1,Keep
